Shift: 4
eixctig 0 1 2 3 4 5 6
igticxe 1 6 4 5 3 2 0
igiexct 1 6 5 0 2 3 4
igiextc 1 6 5 0 2 4 3
igiecxt 1 6 5 0 3 2 4
igiectx 1 6 5 0 3 4 2
igietxc 1 6 5 0 4 2 3
igietcx 1 6 5 0 4 3 2
igixect 1 6 5 2 0 3 4
igixetc 1 6 5 2 0 4 3
igixcet 1 6 5 2 3 0 4
igixcte 1 6 5 2 3 4 0
igixtec 1 6 5 2 4 0 3
igixtce 1 6 5 2 4 3 0
igicext 1 6 5 3 0 2 4
igicetx 1 6 5 3 0 4 2
igicxet 1 6 5 3 2 0 4
igicxte 1 6 5 3 2 4 0
igictex 1 6 5 3 4 0 2
igictxe 1 6 5 3 4 2 0
igitexc 1 6 5 4 0 2 3
igitecx 1 6 5 4 0 3 2
igitxec 1 6 5 4 2 0 3
igitxce 1 6 5 4 2 3 0
igitcex 1 6 5 4 3 0 2
igitcxe 1 6 5 4 3 2 0
xeictig 2 0 1 3 4 5 6
xeictgi 2 0 1 3 4 6 5
xeicitg 2 0 1 3 5 4 6
xeicigt 2 0 1 3 5 6 4
xeicgti 2 0 1 3 6 4 5
xeicgit 2 0 1 3 6 5 4
xeitcig 2 0 1 4 3 5 6
xeitcgi 2 0 1 4 3 6 5
xeiticg 2 0 1 4 5 3 6
xeitigc 2 0 1 4 5 6 3
xeitgci 2 0 1 4 6 3 5
xeitgic 2 0 1 4 6 5 3
xeiictg 2 0 1 5 3 4 6
xeiicgt 2 0 1 5 3 6 4
xeiitcg 2 0 1 5 4 3 6
xeiitgc 2 0 1 5 4 6 3
xeiigct 2 0 1 5 6 3 4
xeiigtc 2 0 1 5 6 4 3
xeigcti 2 0 1 6 3 4 5
xeigcit 2 0 1 6 3 5 4
xeigtci 2 0 1 6 4 3 5
xeigtic 2 0 1 6 4 5 3
xeigict 2 0 1 6 5 3 4
xeigitc 2 0 1 6 5 4 3
xecitig 2 0 3 1 4 5 6
xecitgi 2 0 3 1 4 6 5
xeciitg 2 0 3 1 5 4 6
xeciigt 2 0 3 1 5 6 4
xecigti 2 0 3 1 6 4 5
xecigit 2 0 3 1 6 5 4
xectiig 2 0 3 4 1 5 6
xectigi 2 0 3 4 1 6 5
xectiig 2 0 3 4 5 1 6
xectigi 2 0 3 4 5 6 1
xectgii 2 0 3 4 6 1 5
xectgii 2 0 3 4 6 5 1
xeciitg 2 0 3 5 1 4 6
xeciigt 2 0 3 5 1 6 4
xecitig 2 0 3 5 4 1 6
xecitgi 2 0 3 5 4 6 1
xecigit 2 0 3 5 6 1 4
xecigti 2 0 3 5 6 4 1
xecgiti 2 0 3 6 1 4 5
xecgiit 2 0 3 6 1 5 4
xecgtii 2 0 3 6 4 1 5
xecgtii 2 0 3 6 4 5 1
xecgiit 2 0 3 6 5 1 4
xecgiti 2 0 3 6 5 4 1
xeticig 2 0 4 1 3 5 6
xeticgi 2 0 4 1 3 6 5
xetiicg 2 0 4 1 5 3 6
xetiigc 2 0 4 1 5 6 3
xetigci 2 0 4 1 6 3 5
xetigic 2 0 4 1 6 5 3
xetciig 2 0 4 3 1 5 6
xetcigi 2 0 4 3 1 6 5
xetciig 2 0 4 3 5 1 6
xetcigi 2 0 4 3 5 6 1
xetcgii 2 0 4 3 6 1 5
xetcgii 2 0 4 3 6 5 1
xetiicg 2 0 4 5 1 3 6
xetiigc 2 0 4 5 1 6 3
xeticig 2 0 4 5 3 1 6
xeticgi 2 0 4 5 3 6 1
xetigic 2 0 4 5 6 1 3
xetigci 2 0 4 5 6 3 1
xetgici 2 0 4 6 1 3 5
xetgiic 2 0 4 6 1 5 3
xetgcii 2 0 4 6 3 1 5
xetgcii 2 0 4 6 3 5 1
xetgiic 2 0 4 6 5 1 3
xetgici 2 0 4 6 5 3 1
xeiictg 2 0 5 1 3 4 6
xeiicgt 2 0 5 1 3 6 4
xeiitcg 2 0 5 1 4 3 6
xeiitgc 2 0 5 1 4 6 3
xeiigct 2 0 5 1 6 3 4
xeiigtc 2 0 5 1 6 4 3
xeicitg 2 0 5 3 1 4 6
xeicigt 2 0 5 3 1 6 4
xeictig 2 0 5 3 4 1 6
xeictgi 2 0 5 3 4 6 1
xeicgit 2 0 5 3 6 1 4
xeicgti 2 0 5 3 6 4 1
xeiticg 2 0 5 4 1 3 6
xeitigc 2 0 5 4 1 6 3
xeitcig 2 0 5 4 3 1 6
xeitcgi 2 0 5 4 3 6 1
xeitgic 2 0 5 4 6 1 3
xeitgci 2 0 5 4 6 3 1
xeigict 2 0 5 6 1 3 4
xeigitc 2 0 5 6 1 4 3
xeigcit 2 0 5 6 3 1 4
xeigcti 2 0 5 6 3 4 1
xeigtic 2 0 5 6 4 1 3
xeigtci 2 0 5 6 4 3 1
xegicti 2 0 6 1 3 4 5
xegicit 2 0 6 1 3 5 4
xegitci 2 0 6 1 4 3 5
xegitic 2 0 6 1 4 5 3
xegiict 2 0 6 1 5 3 4
xegiitc 2 0 6 1 5 4 3
xegciti 2 0 6 3 1 4 5
xegciit 2 0 6 3 1 5 4
xegctii 2 0 6 3 4 1 5
xegctii 2 0 6 3 4 5 1
xegciit 2 0 6 3 5 1 4
xegciti 2 0 6 3 5 4 1
xegtici 2 0 6 4 1 3 5
xegtiic 2 0 6 4 1 5 3
xegtcii 2 0 6 4 3 1 5
xegtcii 2 0 6 4 3 5 1
xegtiic 2 0 6 4 5 1 3
xegtici 2 0 6 4 5 3 1
xegiict 2 0 6 5 1 3 4
xegiitc 2 0 6 5 1 4 3
xegicit 2 0 6 5 3 1 4
xegicti 2 0 6 5 3 4 1
xegitic 2 0 6 5 4 1 3
xegitci 2 0 6 5 4 3 1
xiectig 2 1 0 3 4 5 6
xiectgi 2 1 0 3 4 6 5
xiecitg 2 1 0 3 5 4 6
xiecigt 2 1 0 3 5 6 4
xiecgti 2 1 0 3 6 4 5
xiecgit 2 1 0 3 6 5 4
xietcig 2 1 0 4 3 5 6
xietcgi 2 1 0 4 3 6 5
xieticg 2 1 0 4 5 3 6
xietigc 2 1 0 4 5 6 3
xietgci 2 1 0 4 6 3 5
xietgic 2 1 0 4 6 5 3
xieictg 2 1 0 5 3 4 6
xieicgt 2 1 0 5 3 6 4
xieitcg 2 1 0 5 4 3 6
xieitgc 2 1 0 5 4 6 3
xieigct 2 1 0 5 6 3 4
xieigtc 2 1 0 5 6 4 3
xiegcti 2 1 0 6 3 4 5
xiegcit 2 1 0 6 3 5 4
xiegtci 2 1 0 6 4 3 5
xiegtic 2 1 0 6 4 5 3
xiegict 2 1 0 6 5 3 4
xiegitc 2 1 0 6 5 4 3
xicetig 2 1 3 0 4 5 6
xicetgi 2 1 3 0 4 6 5
xiceitg 2 1 3 0 5 4 6
xiceigt 2 1 3 0 5 6 4
xicegti 2 1 3 0 6 4 5
xicegit 2 1 3 0 6 5 4
xicteig 2 1 3 4 0 5 6
xictegi 2 1 3 4 0 6 5
xictieg 2 1 3 4 5 0 6
xictige 2 1 3 4 5 6 0
xictgei 2 1 3 4 6 0 5
xictgie 2 1 3 4 6 5 0
xicietg 2 1 3 5 0 4 6
xiciegt 2 1 3 5 0 6 4
xiciteg 2 1 3 5 4 0 6
xicitge 2 1 3 5 4 6 0
xiciget 2 1 3 5 6 0 4
xicigte 2 1 3 5 6 4 0
xicgeti 2 1 3 6 0 4 5
xicgeit 2 1 3 6 0 5 4
xicgtei 2 1 3 6 4 0 5
xicgtie 2 1 3 6 4 5 0
xicgiet 2 1 3 6 5 0 4
xicgite 2 1 3 6 5 4 0
xitecig 2 1 4 0 3 5 6
xitecgi 2 1 4 0 3 6 5
xiteicg 2 1 4 0 5 3 6
xiteigc 2 1 4 0 5 6 3
xitegci 2 1 4 0 6 3 5
xitegic 2 1 4 0 6 5 3
xitceig 2 1 4 3 0 5 6
xitcegi 2 1 4 3 0 6 5
xitcieg 2 1 4 3 5 0 6
xitcige 2 1 4 3 5 6 0
xitcgei 2 1 4 3 6 0 5
xitcgie 2 1 4 3 6 5 0
xitiecg 2 1 4 5 0 3 6
xitiegc 2 1 4 5 0 6 3
xiticeg 2 1 4 5 3 0 6
xiticge 2 1 4 5 3 6 0
xitigec 2 1 4 5 6 0 3
xitigce 2 1 4 5 6 3 0
xitgeci 2 1 4 6 0 3 5
xitgeic 2 1 4 6 0 5 3
xitgcei 2 1 4 6 3 0 5
xitgcie 2 1 4 6 3 5 0
xitgiec 2 1 4 6 5 0 3
xitgice 2 1 4 6 5 3 0
xiiectg 2 1 5 0 3 4 6
xiiecgt 2 1 5 0 3 6 4
xiietcg 2 1 5 0 4 3 6
xiietgc 2 1 5 0 4 6 3
xiiegct 2 1 5 0 6 3 4
xiiegtc 2 1 5 0 6 4 3
xiicetg 2 1 5 3 0 4 6
xiicegt 2 1 5 3 0 6 4
xiicteg 2 1 5 3 4 0 6
xiictge 2 1 5 3 4 6 0
xiicget 2 1 5 3 6 0 4
xiicgte 2 1 5 3 6 4 0
xiitecg 2 1 5 4 0 3 6
xiitegc 2 1 5 4 0 6 3
xiitceg 2 1 5 4 3 0 6
xiitcge 2 1 5 4 3 6 0
xiitgec 2 1 5 4 6 0 3
xiitgce 2 1 5 4 6 3 0
xiigect 2 1 5 6 0 3 4
xiigetc 2 1 5 6 0 4 3
xiigcet 2 1 5 6 3 0 4
xiigcte 2 1 5 6 3 4 0
xiigtec 2 1 5 6 4 0 3
xiigtce 2 1 5 6 4 3 0
xigecti 2 1 6 0 3 4 5
xigecit 2 1 6 0 3 5 4
xigetci 2 1 6 0 4 3 5
xigetic 2 1 6 0 4 5 3
xigeict 2 1 6 0 5 3 4
xigeitc 2 1 6 0 5 4 3
xigceti 2 1 6 3 0 4 5
xigceit 2 1 6 3 0 5 4
xigctei 2 1 6 3 4 0 5
xigctie 2 1 6 3 4 5 0
xigciet 2 1 6 3 5 0 4
xigcite 2 1 6 3 5 4 0
xigteci 2 1 6 4 0 3 5
xigteic 2 1 6 4 0 5 3
xigtcei 2 1 6 4 3 0 5
xigtcie 2 1 6 4 3 5 0
xigtiec 2 1 6 4 5 0 3
xigtice 2 1 6 4 5 3 0
xigiect 2 1 6 5 0 3 4
xigietc 2 1 6 5 0 4 3
xigicet 2 1 6 5 3 0 4
xigicte 2 1 6 5 3 4 0
xigitec 2 1 6 5 4 0 3
xigitce 2 1 6 5 4 3 0
xceitig 2 3 0 1 4 5 6
xceitgi 2 3 0 1 4 6 5
xceiitg 2 3 0 1 5 4 6
xceiigt 2 3 0 1 5 6 4
xceigti 2 3 0 1 6 4 5
xceigit 2 3 0 1 6 5 4
xcetiig 2 3 0 4 1 5 6
xcetigi 2 3 0 4 1 6 5
xcetiig 2 3 0 4 5 1 6
xcetigi 2 3 0 4 5 6 1
xcetgii 2 3 0 4 6 1 5
xcetgii 2 3 0 4 6 5 1
xceiitg 2 3 0 5 1 4 6
xceiigt 2 3 0 5 1 6 4
xceitig 2 3 0 5 4 1 6
xceitgi 2 3 0 5 4 6 1
xceigit 2 3 0 5 6 1 4
xceigti 2 3 0 5 6 4 1
xcegiti 2 3 0 6 1 4 5
xcegiit 2 3 0 6 1 5 4
xcegtii 2 3 0 6 4 1 5
xcegtii 2 3 0 6 4 5 1
xcegiit 2 3 0 6 5 1 4
xcegiti 2 3 0 6 5 4 1
xcietig 2 3 1 0 4 5 6
xcietgi 2 3 1 0 4 6 5
xcieitg 2 3 1 0 5 4 6
xcieigt 2 3 1 0 5 6 4
xciegti 2 3 1 0 6 4 5
xciegit 2 3 1 0 6 5 4
xciteig 2 3 1 4 0 5 6
xcitegi 2 3 1 4 0 6 5
xcitieg 2 3 1 4 5 0 6
xcitige 2 3 1 4 5 6 0
xcitgei 2 3 1 4 6 0 5
xcitgie 2 3 1 4 6 5 0
xciietg 2 3 1 5 0 4 6
xciiegt 2 3 1 5 0 6 4
xciiteg 2 3 1 5 4 0 6
xciitge 2 3 1 5 4 6 0
xciiget 2 3 1 5 6 0 4
xciigte 2 3 1 5 6 4 0
xcigeti 2 3 1 6 0 4 5
xcigeit 2 3 1 6 0 5 4
xcigtei 2 3 1 6 4 0 5
xcigtie 2 3 1 6 4 5 0
xcigiet 2 3 1 6 5 0 4
xcigite 2 3 1 6 5 4 0
xcteiig 2 3 4 0 1 5 6
xcteigi 2 3 4 0 1 6 5
xcteiig 2 3 4 0 5 1 6
xcteigi 2 3 4 0 5 6 1
xctegii 2 3 4 0 6 1 5
xctegii 2 3 4 0 6 5 1
xctieig 2 3 4 1 0 5 6
xctiegi 2 3 4 1 0 6 5
xctiieg 2 3 4 1 5 0 6
xctiige 2 3 4 1 5 6 0
xctigei 2 3 4 1 6 0 5
xctigie 2 3 4 1 6 5 0
xctieig 2 3 4 5 0 1 6
xctiegi 2 3 4 5 0 6 1
xctiieg 2 3 4 5 1 0 6
xctiige 2 3 4 5 1 6 0
xctigei 2 3 4 5 6 0 1
xctigie 2 3 4 5 6 1 0
xctgeii 2 3 4 6 0 1 5
xctgeii 2 3 4 6 0 5 1
xctgiei 2 3 4 6 1 0 5
xctgiie 2 3 4 6 1 5 0
xctgiei 2 3 4 6 5 0 1
xctgiie 2 3 4 6 5 1 0
xcieitg 2 3 5 0 1 4 6
xcieigt 2 3 5 0 1 6 4
xcietig 2 3 5 0 4 1 6
xcietgi 2 3 5 0 4 6 1
xciegit 2 3 5 0 6 1 4
xciegti 2 3 5 0 6 4 1
xciietg 2 3 5 1 0 4 6
xciiegt 2 3 5 1 0 6 4
xciiteg 2 3 5 1 4 0 6
xciitge 2 3 5 1 4 6 0
xciiget 2 3 5 1 6 0 4
xciigte 2 3 5 1 6 4 0
xciteig 2 3 5 4 0 1 6
xcitegi 2 3 5 4 0 6 1
xcitieg 2 3 5 4 1 0 6
xcitige 2 3 5 4 1 6 0
xcitgei 2 3 5 4 6 0 1
xcitgie 2 3 5 4 6 1 0
xcigeit 2 3 5 6 0 1 4
xcigeti 2 3 5 6 0 4 1
xcigiet 2 3 5 6 1 0 4
xcigite 2 3 5 6 1 4 0
xcigtei 2 3 5 6 4 0 1
xcigtie 2 3 5 6 4 1 0
xcgeiti 2 3 6 0 1 4 5
xcgeiit 2 3 6 0 1 5 4
xcgetii 2 3 6 0 4 1 5
xcgetii 2 3 6 0 4 5 1
xcgeiit 2 3 6 0 5 1 4
xcgeiti 2 3 6 0 5 4 1
xcgieti 2 3 6 1 0 4 5
xcgieit 2 3 6 1 0 5 4
xcgitei 2 3 6 1 4 0 5
xcgitie 2 3 6 1 4 5 0
xcgiiet 2 3 6 1 5 0 4
xcgiite 2 3 6 1 5 4 0
xcgteii 2 3 6 4 0 1 5
xcgteii 2 3 6 4 0 5 1
xcgtiei 2 3 6 4 1 0 5
xcgtiie 2 3 6 4 1 5 0
xcgtiei 2 3 6 4 5 0 1
xcgtiie 2 3 6 4 5 1 0
xcgieit 2 3 6 5 0 1 4
xcgieti 2 3 6 5 0 4 1
xcgiiet 2 3 6 5 1 0 4
xcgiite 2 3 6 5 1 4 0
xcgitei 2 3 6 5 4 0 1
xcgitie 2 3 6 5 4 1 0
xteicig 2 4 0 1 3 5 6
xteicgi 2 4 0 1 3 6 5
xteiicg 2 4 0 1 5 3 6
xteiigc 2 4 0 1 5 6 3
xteigci 2 4 0 1 6 3 5
xteigic 2 4 0 1 6 5 3
xteciig 2 4 0 3 1 5 6
xtecigi 2 4 0 3 1 6 5
xteciig 2 4 0 3 5 1 6
xtecigi 2 4 0 3 5 6 1
xtecgii 2 4 0 3 6 1 5
xtecgii 2 4 0 3 6 5 1
xteiicg 2 4 0 5 1 3 6
xteiigc 2 4 0 5 1 6 3
xteicig 2 4 0 5 3 1 6
xteicgi 2 4 0 5 3 6 1
xteigic 2 4 0 5 6 1 3
xteigci 2 4 0 5 6 3 1
xtegici 2 4 0 6 1 3 5
xtegiic 2 4 0 6 1 5 3
xtegcii 2 4 0 6 3 1 5
xtegcii 2 4 0 6 3 5 1
xtegiic 2 4 0 6 5 1 3
xtegici 2 4 0 6 5 3 1
xtiecig 2 4 1 0 3 5 6
xtiecgi 2 4 1 0 3 6 5
xtieicg 2 4 1 0 5 3 6
xtieigc 2 4 1 0 5 6 3
xtiegci 2 4 1 0 6 3 5
xtiegic 2 4 1 0 6 5 3
xticeig 2 4 1 3 0 5 6
xticegi 2 4 1 3 0 6 5
xticieg 2 4 1 3 5 0 6
xticige 2 4 1 3 5 6 0
xticgei 2 4 1 3 6 0 5
xticgie 2 4 1 3 6 5 0
xtiiecg 2 4 1 5 0 3 6
xtiiegc 2 4 1 5 0 6 3
xtiiceg 2 4 1 5 3 0 6
xtiicge 2 4 1 5 3 6 0
xtiigec 2 4 1 5 6 0 3
xtiigce 2 4 1 5 6 3 0
xtigeci 2 4 1 6 0 3 5
xtigeic 2 4 1 6 0 5 3
xtigcei 2 4 1 6 3 0 5
xtigcie 2 4 1 6 3 5 0
xtigiec 2 4 1 6 5 0 3
xtigice 2 4 1 6 5 3 0
xtceiig 2 4 3 0 1 5 6
xtceigi 2 4 3 0 1 6 5
xtceiig 2 4 3 0 5 1 6
xtceigi 2 4 3 0 5 6 1
xtcegii 2 4 3 0 6 1 5
xtcegii 2 4 3 0 6 5 1
xtcieig 2 4 3 1 0 5 6
xtciegi 2 4 3 1 0 6 5
xtciieg 2 4 3 1 5 0 6
xtciige 2 4 3 1 5 6 0
xtcigei 2 4 3 1 6 0 5
xtcigie 2 4 3 1 6 5 0
xtcieig 2 4 3 5 0 1 6
xtciegi 2 4 3 5 0 6 1
xtciieg 2 4 3 5 1 0 6
xtciige 2 4 3 5 1 6 0
xtcigei 2 4 3 5 6 0 1
xtcigie 2 4 3 5 6 1 0
xtcgeii 2 4 3 6 0 1 5
xtcgeii 2 4 3 6 0 5 1
xtcgiei 2 4 3 6 1 0 5
xtcgiie 2 4 3 6 1 5 0
xtcgiei 2 4 3 6 5 0 1
xtcgiie 2 4 3 6 5 1 0
xtieicg 2 4 5 0 1 3 6
xtieigc 2 4 5 0 1 6 3
xtiecig 2 4 5 0 3 1 6
xtiecgi 2 4 5 0 3 6 1
xtiegic 2 4 5 0 6 1 3
xtiegci 2 4 5 0 6 3 1
xtiiecg 2 4 5 1 0 3 6
xtiiegc 2 4 5 1 0 6 3
xtiiceg 2 4 5 1 3 0 6
xtiicge 2 4 5 1 3 6 0
xtiigec 2 4 5 1 6 0 3
xtiigce 2 4 5 1 6 3 0
xticeig 2 4 5 3 0 1 6
xticegi 2 4 5 3 0 6 1
xticieg 2 4 5 3 1 0 6
xticige 2 4 5 3 1 6 0
xticgei 2 4 5 3 6 0 1
xticgie 2 4 5 3 6 1 0
xtigeic 2 4 5 6 0 1 3
xtigeci 2 4 5 6 0 3 1
xtigiec 2 4 5 6 1 0 3
xtigice 2 4 5 6 1 3 0
xtigcei 2 4 5 6 3 0 1
xtigcie 2 4 5 6 3 1 0
xtgeici 2 4 6 0 1 3 5
xtgeiic 2 4 6 0 1 5 3
xtgecii 2 4 6 0 3 1 5
xtgecii 2 4 6 0 3 5 1
xtgeiic 2 4 6 0 5 1 3
xtgeici 2 4 6 0 5 3 1
xtgieci 2 4 6 1 0 3 5
xtgieic 2 4 6 1 0 5 3
xtgicei 2 4 6 1 3 0 5
xtgicie 2 4 6 1 3 5 0
xtgiiec 2 4 6 1 5 0 3
xtgiice 2 4 6 1 5 3 0
xtgceii 2 4 6 3 0 1 5
xtgceii 2 4 6 3 0 5 1
xtgciei 2 4 6 3 1 0 5
xtgciie 2 4 6 3 1 5 0
xtgciei 2 4 6 3 5 0 1
xtgciie 2 4 6 3 5 1 0
xtgieic 2 4 6 5 0 1 3
xtgieci 2 4 6 5 0 3 1
xtgiiec 2 4 6 5 1 0 3
xtgiice 2 4 6 5 1 3 0
xtgicei 2 4 6 5 3 0 1
xtgicie 2 4 6 5 3 1 0
xieictg 2 5 0 1 3 4 6
xieicgt 2 5 0 1 3 6 4
xieitcg 2 5 0 1 4 3 6
xieitgc 2 5 0 1 4 6 3
xieigct 2 5 0 1 6 3 4
xieigtc 2 5 0 1 6 4 3
xiecitg 2 5 0 3 1 4 6
xiecigt 2 5 0 3 1 6 4
xiectig 2 5 0 3 4 1 6
xiectgi 2 5 0 3 4 6 1
xiecgit 2 5 0 3 6 1 4
xiecgti 2 5 0 3 6 4 1
xieticg 2 5 0 4 1 3 6
xietigc 2 5 0 4 1 6 3
xietcig 2 5 0 4 3 1 6
xietcgi 2 5 0 4 3 6 1
xietgic 2 5 0 4 6 1 3
xietgci 2 5 0 4 6 3 1
xiegict 2 5 0 6 1 3 4
xiegitc 2 5 0 6 1 4 3
xiegcit 2 5 0 6 3 1 4
xiegcti 2 5 0 6 3 4 1
xiegtic 2 5 0 6 4 1 3
xiegtci 2 5 0 6 4 3 1
xiiectg 2 5 1 0 3 4 6
xiiecgt 2 5 1 0 3 6 4
xiietcg 2 5 1 0 4 3 6
xiietgc 2 5 1 0 4 6 3
xiiegct 2 5 1 0 6 3 4
xiiegtc 2 5 1 0 6 4 3
xiicetg 2 5 1 3 0 4 6
xiicegt 2 5 1 3 0 6 4
xiicteg 2 5 1 3 4 0 6
xiictge 2 5 1 3 4 6 0
xiicget 2 5 1 3 6 0 4
xiicgte 2 5 1 3 6 4 0
xiitecg 2 5 1 4 0 3 6
xiitegc 2 5 1 4 0 6 3
xiitceg 2 5 1 4 3 0 6
xiitcge 2 5 1 4 3 6 0
xiitgec 2 5 1 4 6 0 3
xiitgce 2 5 1 4 6 3 0
xiigect 2 5 1 6 0 3 4
xiigetc 2 5 1 6 0 4 3
xiigcet 2 5 1 6 3 0 4
xiigcte 2 5 1 6 3 4 0
xiigtec 2 5 1 6 4 0 3
xiigtce 2 5 1 6 4 3 0
xiceitg 2 5 3 0 1 4 6
xiceigt 2 5 3 0 1 6 4
xicetig 2 5 3 0 4 1 6
xicetgi 2 5 3 0 4 6 1
xicegit 2 5 3 0 6 1 4
xicegti 2 5 3 0 6 4 1
xicietg 2 5 3 1 0 4 6
xiciegt 2 5 3 1 0 6 4
xiciteg 2 5 3 1 4 0 6
xicitge 2 5 3 1 4 6 0
xiciget 2 5 3 1 6 0 4
xicigte 2 5 3 1 6 4 0
xicteig 2 5 3 4 0 1 6
xictegi 2 5 3 4 0 6 1
xictieg 2 5 3 4 1 0 6
xictige 2 5 3 4 1 6 0
xictgei 2 5 3 4 6 0 1
xictgie 2 5 3 4 6 1 0
xicgeit 2 5 3 6 0 1 4
xicgeti 2 5 3 6 0 4 1
xicgiet 2 5 3 6 1 0 4
xicgite 2 5 3 6 1 4 0
xicgtei 2 5 3 6 4 0 1
xicgtie 2 5 3 6 4 1 0
xiteicg 2 5 4 0 1 3 6
xiteigc 2 5 4 0 1 6 3
xitecig 2 5 4 0 3 1 6
xitecgi 2 5 4 0 3 6 1
xitegic 2 5 4 0 6 1 3
xitegci 2 5 4 0 6 3 1
xitiecg 2 5 4 1 0 3 6
xitiegc 2 5 4 1 0 6 3
xiticeg 2 5 4 1 3 0 6
xiticge 2 5 4 1 3 6 0
xitigec 2 5 4 1 6 0 3
xitigce 2 5 4 1 6 3 0
xitceig 2 5 4 3 0 1 6
xitcegi 2 5 4 3 0 6 1
xitcieg 2 5 4 3 1 0 6
xitcige 2 5 4 3 1 6 0
xitcgei 2 5 4 3 6 0 1
xitcgie 2 5 4 3 6 1 0
xitgeic 2 5 4 6 0 1 3
xitgeci 2 5 4 6 0 3 1
xitgiec 2 5 4 6 1 0 3
xitgice 2 5 4 6 1 3 0
xitgcei 2 5 4 6 3 0 1
xitgcie 2 5 4 6 3 1 0
xigeict 2 5 6 0 1 3 4
xigeitc 2 5 6 0 1 4 3
xigecit 2 5 6 0 3 1 4
xigecti 2 5 6 0 3 4 1
xigetic 2 5 6 0 4 1 3
xigetci 2 5 6 0 4 3 1
xigiect 2 5 6 1 0 3 4
xigietc 2 5 6 1 0 4 3
xigicet 2 5 6 1 3 0 4
xigicte 2 5 6 1 3 4 0
xigitec 2 5 6 1 4 0 3
xigitce 2 5 6 1 4 3 0
xigceit 2 5 6 3 0 1 4
xigceti 2 5 6 3 0 4 1
xigciet 2 5 6 3 1 0 4
xigcite 2 5 6 3 1 4 0
xigctei 2 5 6 3 4 0 1
xigctie 2 5 6 3 4 1 0
xigteic 2 5 6 4 0 1 3
xigteci 2 5 6 4 0 3 1
xigtiec 2 5 6 4 1 0 3
xigtice 2 5 6 4 1 3 0
xigtcei 2 5 6 4 3 0 1
xigtcie 2 5 6 4 3 1 0
xgeicti 2 6 0 1 3 4 5
xgeicit 2 6 0 1 3 5 4
xgeitci 2 6 0 1 4 3 5
xgeitic 2 6 0 1 4 5 3
xgeiict 2 6 0 1 5 3 4
xgeiitc 2 6 0 1 5 4 3
xgeciti 2 6 0 3 1 4 5
xgeciit 2 6 0 3 1 5 4
xgectii 2 6 0 3 4 1 5
xgectii 2 6 0 3 4 5 1
xgeciit 2 6 0 3 5 1 4
xgeciti 2 6 0 3 5 4 1
xgetici 2 6 0 4 1 3 5
xgetiic 2 6 0 4 1 5 3
xgetcii 2 6 0 4 3 1 5
xgetcii 2 6 0 4 3 5 1
xgetiic 2 6 0 4 5 1 3
xgetici 2 6 0 4 5 3 1
xgeiict 2 6 0 5 1 3 4
xgeiitc 2 6 0 5 1 4 3
xgeicit 2 6 0 5 3 1 4
xgeicti 2 6 0 5 3 4 1
xgeitic 2 6 0 5 4 1 3
xgeitci 2 6 0 5 4 3 1
xgiecti 2 6 1 0 3 4 5
xgiecit 2 6 1 0 3 5 4
xgietci 2 6 1 0 4 3 5
xgietic 2 6 1 0 4 5 3
xgieict 2 6 1 0 5 3 4
xgieitc 2 6 1 0 5 4 3
xgiceti 2 6 1 3 0 4 5
xgiceit 2 6 1 3 0 5 4
xgictei 2 6 1 3 4 0 5
xgictie 2 6 1 3 4 5 0
xgiciet 2 6 1 3 5 0 4
xgicite 2 6 1 3 5 4 0
xgiteci 2 6 1 4 0 3 5
xgiteic 2 6 1 4 0 5 3
xgitcei 2 6 1 4 3 0 5
xgitcie 2 6 1 4 3 5 0
xgitiec 2 6 1 4 5 0 3
xgitice 2 6 1 4 5 3 0
xgiiect 2 6 1 5 0 3 4
xgiietc 2 6 1 5 0 4 3
xgiicet 2 6 1 5 3 0 4
xgiicte 2 6 1 5 3 4 0
xgiitec 2 6 1 5 4 0 3
xgiitce 2 6 1 5 4 3 0
xgceiti 2 6 3 0 1 4 5
xgceiit 2 6 3 0 1 5 4
xgcetii 2 6 3 0 4 1 5
xgcetii 2 6 3 0 4 5 1
xgceiit 2 6 3 0 5 1 4
xgceiti 2 6 3 0 5 4 1
xgcieti 2 6 3 1 0 4 5
xgcieit 2 6 3 1 0 5 4
xgcitei 2 6 3 1 4 0 5
xgcitie 2 6 3 1 4 5 0
xgciiet 2 6 3 1 5 0 4
xgciite 2 6 3 1 5 4 0
xgcteii 2 6 3 4 0 1 5
xgcteii 2 6 3 4 0 5 1
xgctiei 2 6 3 4 1 0 5
xgctiie 2 6 3 4 1 5 0
xgctiei 2 6 3 4 5 0 1
xgctiie 2 6 3 4 5 1 0
xgcieit 2 6 3 5 0 1 4
xgcieti 2 6 3 5 0 4 1
xgciiet 2 6 3 5 1 0 4
xgciite 2 6 3 5 1 4 0
xgcitei 2 6 3 5 4 0 1
xgcitie 2 6 3 5 4 1 0
xgteici 2 6 4 0 1 3 5
xgteiic 2 6 4 0 1 5 3
xgtecii 2 6 4 0 3 1 5
xgtecii 2 6 4 0 3 5 1
xgteiic 2 6 4 0 5 1 3
xgteici 2 6 4 0 5 3 1
xgtieci 2 6 4 1 0 3 5
xgtieic 2 6 4 1 0 5 3
xgticei 2 6 4 1 3 0 5
xgticie 2 6 4 1 3 5 0
xgtiiec 2 6 4 1 5 0 3
xgtiice 2 6 4 1 5 3 0
