Shift: 22
wapulay 0 1 2 3 4 5 6
aylawup 1 6 4 5 0 3 2
aylapwu 1 6 4 5 2 0 3
aylapuw 1 6 4 5 2 3 0
aylauwp 1 6 4 5 3 0 2
aylaupw 1 6 4 5 3 2 0
ayawpul 1 6 5 0 2 3 4
ayawplu 1 6 5 0 2 4 3
ayawupl 1 6 5 0 3 2 4
ayawulp 1 6 5 0 3 4 2
ayawlpu 1 6 5 0 4 2 3
ayawlup 1 6 5 0 4 3 2
ayapwul 1 6 5 2 0 3 4
ayapwlu 1 6 5 2 0 4 3
ayapuwl 1 6 5 2 3 0 4
ayapulw 1 6 5 2 3 4 0
ayaplwu 1 6 5 2 4 0 3
ayapluw 1 6 5 2 4 3 0
ayauwpl 1 6 5 3 0 2 4
ayauwlp 1 6 5 3 0 4 2
ayaupwl 1 6 5 3 2 0 4
ayauplw 1 6 5 3 2 4 0
ayaulwp 1 6 5 3 4 0 2
ayaulpw 1 6 5 3 4 2 0
ayalwpu 1 6 5 4 0 2 3
ayalwup 1 6 5 4 0 3 2
ayalpwu 1 6 5 4 2 0 3
ayalpuw 1 6 5 4 2 3 0
ayaluwp 1 6 5 4 3 0 2
ayalupw 1 6 5 4 3 2 0
pwaulay 2 0 1 3 4 5 6
pwaulya 2 0 1 3 4 6 5
pwaualy 2 0 1 3 5 4 6
pwauayl 2 0 1 3 5 6 4
pwauyla 2 0 1 3 6 4 5
pwauyal 2 0 1 3 6 5 4
pwaluay 2 0 1 4 3 5 6
pwaluya 2 0 1 4 3 6 5
pwalauy 2 0 1 4 5 3 6
pwalayu 2 0 1 4 5 6 3
pwalyua 2 0 1 4 6 3 5
pwalyau 2 0 1 4 6 5 3
pwaauly 2 0 1 5 3 4 6
pwaauyl 2 0 1 5 3 6 4
pwaaluy 2 0 1 5 4 3 6
pwaalyu 2 0 1 5 4 6 3
pwaayul 2 0 1 5 6 3 4
pwaaylu 2 0 1 5 6 4 3
pwayula 2 0 1 6 3 4 5
pwayual 2 0 1 6 3 5 4
pwaylua 2 0 1 6 4 3 5
pwaylau 2 0 1 6 4 5 3
pwayaul 2 0 1 6 5 3 4
pwayalu 2 0 1 6 5 4 3
pwualay 2 0 3 1 4 5 6
pwualya 2 0 3 1 4 6 5
pwuaaly 2 0 3 1 5 4 6
pwuaayl 2 0 3 1 5 6 4
pwuayla 2 0 3 1 6 4 5
pwuayal 2 0 3 1 6 5 4
pwulaay 2 0 3 4 1 5 6
pwulaya 2 0 3 4 1 6 5
pwulaay 2 0 3 4 5 1 6
pwulaya 2 0 3 4 5 6 1
pwulyaa 2 0 3 4 6 1 5
pwulyaa 2 0 3 4 6 5 1
pwuaaly 2 0 3 5 1 4 6
pwuaayl 2 0 3 5 1 6 4
pwualay 2 0 3 5 4 1 6
pwualya 2 0 3 5 4 6 1
pwuayal 2 0 3 5 6 1 4
pwuayla 2 0 3 5 6 4 1
pwuyala 2 0 3 6 1 4 5
pwuyaal 2 0 3 6 1 5 4
pwuylaa 2 0 3 6 4 1 5
pwuylaa 2 0 3 6 4 5 1
pwuyaal 2 0 3 6 5 1 4
pwuyala 2 0 3 6 5 4 1
pwlauay 2 0 4 1 3 5 6
pwlauya 2 0 4 1 3 6 5
pwlaauy 2 0 4 1 5 3 6
pwlaayu 2 0 4 1 5 6 3
pwlayua 2 0 4 1 6 3 5
pwlayau 2 0 4 1 6 5 3
pwluaay 2 0 4 3 1 5 6
pwluaya 2 0 4 3 1 6 5
pwluaay 2 0 4 3 5 1 6
pwluaya 2 0 4 3 5 6 1
pwluyaa 2 0 4 3 6 1 5
pwluyaa 2 0 4 3 6 5 1
pwlaauy 2 0 4 5 1 3 6
pwlaayu 2 0 4 5 1 6 3
pwlauay 2 0 4 5 3 1 6
pwlauya 2 0 4 5 3 6 1
pwlayau 2 0 4 5 6 1 3
pwlayua 2 0 4 5 6 3 1
pwlyaua 2 0 4 6 1 3 5
pwlyaau 2 0 4 6 1 5 3
pwlyuaa 2 0 4 6 3 1 5
pwlyuaa 2 0 4 6 3 5 1
pwlyaau 2 0 4 6 5 1 3
pwlyaua 2 0 4 6 5 3 1
pwaauly 2 0 5 1 3 4 6
pwaauyl 2 0 5 1 3 6 4
pwaaluy 2 0 5 1 4 3 6
pwaalyu 2 0 5 1 4 6 3
pwaayul 2 0 5 1 6 3 4
pwaaylu 2 0 5 1 6 4 3
pwaualy 2 0 5 3 1 4 6
pwauayl 2 0 5 3 1 6 4
pwaulay 2 0 5 3 4 1 6
pwaulya 2 0 5 3 4 6 1
pwauyal 2 0 5 3 6 1 4
pwauyla 2 0 5 3 6 4 1
pwalauy 2 0 5 4 1 3 6
pwalayu 2 0 5 4 1 6 3
pwaluay 2 0 5 4 3 1 6
pwaluya 2 0 5 4 3 6 1
pwalyau 2 0 5 4 6 1 3
pwalyua 2 0 5 4 6 3 1
pwayaul 2 0 5 6 1 3 4
pwayalu 2 0 5 6 1 4 3
pwayual 2 0 5 6 3 1 4
pwayula 2 0 5 6 3 4 1
pwaylau 2 0 5 6 4 1 3
pwaylua 2 0 5 6 4 3 1
pwyaula 2 0 6 1 3 4 5
pwyaual 2 0 6 1 3 5 4
pwyalua 2 0 6 1 4 3 5
pwyalau 2 0 6 1 4 5 3
pwyaaul 2 0 6 1 5 3 4
pwyaalu 2 0 6 1 5 4 3
pwyuala 2 0 6 3 1 4 5
pwyuaal 2 0 6 3 1 5 4
pwyulaa 2 0 6 3 4 1 5
pwyulaa 2 0 6 3 4 5 1
pwyuaal 2 0 6 3 5 1 4
pwyuala 2 0 6 3 5 4 1
pwylaua 2 0 6 4 1 3 5
pwylaau 2 0 6 4 1 5 3
pwyluaa 2 0 6 4 3 1 5
pwyluaa 2 0 6 4 3 5 1
pwylaau 2 0 6 4 5 1 3
pwylaua 2 0 6 4 5 3 1
pwyaaul 2 0 6 5 1 3 4
pwyaalu 2 0 6 5 1 4 3
pwyaual 2 0 6 5 3 1 4
pwyaula 2 0 6 5 3 4 1
pwyalau 2 0 6 5 4 1 3
pwyalua 2 0 6 5 4 3 1
pawulay 2 1 0 3 4 5 6
pawulya 2 1 0 3 4 6 5
pawualy 2 1 0 3 5 4 6
pawuayl 2 1 0 3 5 6 4
pawuyla 2 1 0 3 6 4 5
pawuyal 2 1 0 3 6 5 4
pawluay 2 1 0 4 3 5 6
pawluya 2 1 0 4 3 6 5
pawlauy 2 1 0 4 5 3 6
pawlayu 2 1 0 4 5 6 3
pawlyua 2 1 0 4 6 3 5
pawlyau 2 1 0 4 6 5 3
pawauly 2 1 0 5 3 4 6
pawauyl 2 1 0 5 3 6 4
pawaluy 2 1 0 5 4 3 6
pawalyu 2 1 0 5 4 6 3
pawayul 2 1 0 5 6 3 4
pawaylu 2 1 0 5 6 4 3
pawyula 2 1 0 6 3 4 5
pawyual 2 1 0 6 3 5 4
pawylua 2 1 0 6 4 3 5
pawylau 2 1 0 6 4 5 3
pawyaul 2 1 0 6 5 3 4
pawyalu 2 1 0 6 5 4 3
pauwlay 2 1 3 0 4 5 6
pauwlya 2 1 3 0 4 6 5
pauwaly 2 1 3 0 5 4 6
pauwayl 2 1 3 0 5 6 4
pauwyla 2 1 3 0 6 4 5
pauwyal 2 1 3 0 6 5 4
paulway 2 1 3 4 0 5 6
paulwya 2 1 3 4 0 6 5
paulawy 2 1 3 4 5 0 6
paulayw 2 1 3 4 5 6 0
paulywa 2 1 3 4 6 0 5
paulyaw 2 1 3 4 6 5 0
pauawly 2 1 3 5 0 4 6
pauawyl 2 1 3 5 0 6 4
paualwy 2 1 3 5 4 0 6
paualyw 2 1 3 5 4 6 0
pauaywl 2 1 3 5 6 0 4
pauaylw 2 1 3 5 6 4 0
pauywla 2 1 3 6 0 4 5
pauywal 2 1 3 6 0 5 4
pauylwa 2 1 3 6 4 0 5
pauylaw 2 1 3 6 4 5 0
pauyawl 2 1 3 6 5 0 4
pauyalw 2 1 3 6 5 4 0
palwuay 2 1 4 0 3 5 6
palwuya 2 1 4 0 3 6 5
palwauy 2 1 4 0 5 3 6
palwayu 2 1 4 0 5 6 3
palwyua 2 1 4 0 6 3 5
palwyau 2 1 4 0 6 5 3
paluway 2 1 4 3 0 5 6
paluwya 2 1 4 3 0 6 5
paluawy 2 1 4 3 5 0 6
paluayw 2 1 4 3 5 6 0
paluywa 2 1 4 3 6 0 5
paluyaw 2 1 4 3 6 5 0
palawuy 2 1 4 5 0 3 6
palawyu 2 1 4 5 0 6 3
palauwy 2 1 4 5 3 0 6
palauyw 2 1 4 5 3 6 0
palaywu 2 1 4 5 6 0 3
palayuw 2 1 4 5 6 3 0
palywua 2 1 4 6 0 3 5
palywau 2 1 4 6 0 5 3
palyuwa 2 1 4 6 3 0 5
palyuaw 2 1 4 6 3 5 0
palyawu 2 1 4 6 5 0 3
palyauw 2 1 4 6 5 3 0
paawuly 2 1 5 0 3 4 6
paawuyl 2 1 5 0 3 6 4
paawluy 2 1 5 0 4 3 6
paawlyu 2 1 5 0 4 6 3
paawyul 2 1 5 0 6 3 4
paawylu 2 1 5 0 6 4 3
paauwly 2 1 5 3 0 4 6
paauwyl 2 1 5 3 0 6 4
paaulwy 2 1 5 3 4 0 6
paaulyw 2 1 5 3 4 6 0
paauywl 2 1 5 3 6 0 4
paauylw 2 1 5 3 6 4 0
paalwuy 2 1 5 4 0 3 6
paalwyu 2 1 5 4 0 6 3
paaluwy 2 1 5 4 3 0 6
paaluyw 2 1 5 4 3 6 0
paalywu 2 1 5 4 6 0 3
paalyuw 2 1 5 4 6 3 0
paaywul 2 1 5 6 0 3 4
paaywlu 2 1 5 6 0 4 3
paayuwl 2 1 5 6 3 0 4
paayulw 2 1 5 6 3 4 0
paaylwu 2 1 5 6 4 0 3
paayluw 2 1 5 6 4 3 0
paywula 2 1 6 0 3 4 5
paywual 2 1 6 0 3 5 4
paywlua 2 1 6 0 4 3 5
paywlau 2 1 6 0 4 5 3
paywaul 2 1 6 0 5 3 4
paywalu 2 1 6 0 5 4 3
payuwla 2 1 6 3 0 4 5
payuwal 2 1 6 3 0 5 4
payulwa 2 1 6 3 4 0 5
payulaw 2 1 6 3 4 5 0
payuawl 2 1 6 3 5 0 4
payualw 2 1 6 3 5 4 0
paylwua 2 1 6 4 0 3 5
paylwau 2 1 6 4 0 5 3
payluwa 2 1 6 4 3 0 5
payluaw 2 1 6 4 3 5 0
paylawu 2 1 6 4 5 0 3
paylauw 2 1 6 4 5 3 0
payawul 2 1 6 5 0 3 4
payawlu 2 1 6 5 0 4 3
payauwl 2 1 6 5 3 0 4
payaulw 2 1 6 5 3 4 0
payalwu 2 1 6 5 4 0 3
payaluw 2 1 6 5 4 3 0
puwalay 2 3 0 1 4 5 6
puwalya 2 3 0 1 4 6 5
puwaaly 2 3 0 1 5 4 6
puwaayl 2 3 0 1 5 6 4
puwayla 2 3 0 1 6 4 5
puwayal 2 3 0 1 6 5 4
puwlaay 2 3 0 4 1 5 6
puwlaya 2 3 0 4 1 6 5
puwlaay 2 3 0 4 5 1 6
puwlaya 2 3 0 4 5 6 1
puwlyaa 2 3 0 4 6 1 5
puwlyaa 2 3 0 4 6 5 1
puwaaly 2 3 0 5 1 4 6
puwaayl 2 3 0 5 1 6 4
puwalay 2 3 0 5 4 1 6
puwalya 2 3 0 5 4 6 1
puwayal 2 3 0 5 6 1 4
puwayla 2 3 0 5 6 4 1
puwyala 2 3 0 6 1 4 5
puwyaal 2 3 0 6 1 5 4
puwylaa 2 3 0 6 4 1 5
puwylaa 2 3 0 6 4 5 1
puwyaal 2 3 0 6 5 1 4
puwyala 2 3 0 6 5 4 1
puawlay 2 3 1 0 4 5 6
puawlya 2 3 1 0 4 6 5
puawaly 2 3 1 0 5 4 6
puawayl 2 3 1 0 5 6 4
puawyla 2 3 1 0 6 4 5
puawyal 2 3 1 0 6 5 4
pualway 2 3 1 4 0 5 6
pualwya 2 3 1 4 0 6 5
pualawy 2 3 1 4 5 0 6
pualayw 2 3 1 4 5 6 0
pualywa 2 3 1 4 6 0 5
pualyaw 2 3 1 4 6 5 0
puaawly 2 3 1 5 0 4 6
puaawyl 2 3 1 5 0 6 4
puaalwy 2 3 1 5 4 0 6
puaalyw 2 3 1 5 4 6 0
puaaywl 2 3 1 5 6 0 4
puaaylw 2 3 1 5 6 4 0
puaywla 2 3 1 6 0 4 5
puaywal 2 3 1 6 0 5 4
puaylwa 2 3 1 6 4 0 5
puaylaw 2 3 1 6 4 5 0
puayawl 2 3 1 6 5 0 4
puayalw 2 3 1 6 5 4 0
pulwaay 2 3 4 0 1 5 6
pulwaya 2 3 4 0 1 6 5
pulwaay 2 3 4 0 5 1 6
pulwaya 2 3 4 0 5 6 1
pulwyaa 2 3 4 0 6 1 5
pulwyaa 2 3 4 0 6 5 1
pulaway 2 3 4 1 0 5 6
pulawya 2 3 4 1 0 6 5
pulaawy 2 3 4 1 5 0 6
pulaayw 2 3 4 1 5 6 0
pulaywa 2 3 4 1 6 0 5
pulayaw 2 3 4 1 6 5 0
pulaway 2 3 4 5 0 1 6
pulawya 2 3 4 5 0 6 1
pulaawy 2 3 4 5 1 0 6
pulaayw 2 3 4 5 1 6 0
pulaywa 2 3 4 5 6 0 1
pulayaw 2 3 4 5 6 1 0
pulywaa 2 3 4 6 0 1 5
pulywaa 2 3 4 6 0 5 1
pulyawa 2 3 4 6 1 0 5
pulyaaw 2 3 4 6 1 5 0
pulyawa 2 3 4 6 5 0 1
pulyaaw 2 3 4 6 5 1 0
puawaly 2 3 5 0 1 4 6
puawayl 2 3 5 0 1 6 4
puawlay 2 3 5 0 4 1 6
puawlya 2 3 5 0 4 6 1
puawyal 2 3 5 0 6 1 4
puawyla 2 3 5 0 6 4 1
puaawly 2 3 5 1 0 4 6
puaawyl 2 3 5 1 0 6 4
puaalwy 2 3 5 1 4 0 6
puaalyw 2 3 5 1 4 6 0
puaaywl 2 3 5 1 6 0 4
puaaylw 2 3 5 1 6 4 0
pualway 2 3 5 4 0 1 6
pualwya 2 3 5 4 0 6 1
pualawy 2 3 5 4 1 0 6
pualayw 2 3 5 4 1 6 0
pualywa 2 3 5 4 6 0 1
pualyaw 2 3 5 4 6 1 0
puaywal 2 3 5 6 0 1 4
puaywla 2 3 5 6 0 4 1
puayawl 2 3 5 6 1 0 4
puayalw 2 3 5 6 1 4 0
puaylwa 2 3 5 6 4 0 1
puaylaw 2 3 5 6 4 1 0
puywala 2 3 6 0 1 4 5
puywaal 2 3 6 0 1 5 4
puywlaa 2 3 6 0 4 1 5
puywlaa 2 3 6 0 4 5 1
puywaal 2 3 6 0 5 1 4
puywala 2 3 6 0 5 4 1
puyawla 2 3 6 1 0 4 5
puyawal 2 3 6 1 0 5 4
puyalwa 2 3 6 1 4 0 5
puyalaw 2 3 6 1 4 5 0
puyaawl 2 3 6 1 5 0 4
puyaalw 2 3 6 1 5 4 0
puylwaa 2 3 6 4 0 1 5
puylwaa 2 3 6 4 0 5 1
puylawa 2 3 6 4 1 0 5
puylaaw 2 3 6 4 1 5 0
puylawa 2 3 6 4 5 0 1
puylaaw 2 3 6 4 5 1 0
puyawal 2 3 6 5 0 1 4
puyawla 2 3 6 5 0 4 1
puyaawl 2 3 6 5 1 0 4
puyaalw 2 3 6 5 1 4 0
puyalwa 2 3 6 5 4 0 1
puyalaw 2 3 6 5 4 1 0
plwauay 2 4 0 1 3 5 6
plwauya 2 4 0 1 3 6 5
plwaauy 2 4 0 1 5 3 6
plwaayu 2 4 0 1 5 6 3
plwayua 2 4 0 1 6 3 5
plwayau 2 4 0 1 6 5 3
plwuaay 2 4 0 3 1 5 6
plwuaya 2 4 0 3 1 6 5
plwuaay 2 4 0 3 5 1 6
plwuaya 2 4 0 3 5 6 1
plwuyaa 2 4 0 3 6 1 5
plwuyaa 2 4 0 3 6 5 1
plwaauy 2 4 0 5 1 3 6
plwaayu 2 4 0 5 1 6 3
plwauay 2 4 0 5 3 1 6
plwauya 2 4 0 5 3 6 1
plwayau 2 4 0 5 6 1 3
plwayua 2 4 0 5 6 3 1
plwyaua 2 4 0 6 1 3 5
plwyaau 2 4 0 6 1 5 3
plwyuaa 2 4 0 6 3 1 5
plwyuaa 2 4 0 6 3 5 1
plwyaau 2 4 0 6 5 1 3
plwyaua 2 4 0 6 5 3 1
plawuay 2 4 1 0 3 5 6
plawuya 2 4 1 0 3 6 5
plawauy 2 4 1 0 5 3 6
plawayu 2 4 1 0 5 6 3
plawyua 2 4 1 0 6 3 5
plawyau 2 4 1 0 6 5 3
plauway 2 4 1 3 0 5 6
plauwya 2 4 1 3 0 6 5
plauawy 2 4 1 3 5 0 6
plauayw 2 4 1 3 5 6 0
plauywa 2 4 1 3 6 0 5
plauyaw 2 4 1 3 6 5 0
plaawuy 2 4 1 5 0 3 6
plaawyu 2 4 1 5 0 6 3
plaauwy 2 4 1 5 3 0 6
plaauyw 2 4 1 5 3 6 0
plaaywu 2 4 1 5 6 0 3
plaayuw 2 4 1 5 6 3 0
playwua 2 4 1 6 0 3 5
playwau 2 4 1 6 0 5 3
playuwa 2 4 1 6 3 0 5
playuaw 2 4 1 6 3 5 0
playawu 2 4 1 6 5 0 3
playauw 2 4 1 6 5 3 0
pluwaay 2 4 3 0 1 5 6
pluwaya 2 4 3 0 1 6 5
pluwaay 2 4 3 0 5 1 6
pluwaya 2 4 3 0 5 6 1
pluwyaa 2 4 3 0 6 1 5
pluwyaa 2 4 3 0 6 5 1
pluaway 2 4 3 1 0 5 6
pluawya 2 4 3 1 0 6 5
pluaawy 2 4 3 1 5 0 6
pluaayw 2 4 3 1 5 6 0
pluaywa 2 4 3 1 6 0 5
pluayaw 2 4 3 1 6 5 0
pluaway 2 4 3 5 0 1 6
pluawya 2 4 3 5 0 6 1
pluaawy 2 4 3 5 1 0 6
pluaayw 2 4 3 5 1 6 0
pluaywa 2 4 3 5 6 0 1
pluayaw 2 4 3 5 6 1 0
pluywaa 2 4 3 6 0 1 5
pluywaa 2 4 3 6 0 5 1
pluyawa 2 4 3 6 1 0 5
pluyaaw 2 4 3 6 1 5 0
pluyawa 2 4 3 6 5 0 1
pluyaaw 2 4 3 6 5 1 0
plawauy 2 4 5 0 1 3 6
plawayu 2 4 5 0 1 6 3
plawuay 2 4 5 0 3 1 6
plawuya 2 4 5 0 3 6 1
plawyau 2 4 5 0 6 1 3
plawyua 2 4 5 0 6 3 1
plaawuy 2 4 5 1 0 3 6
plaawyu 2 4 5 1 0 6 3
plaauwy 2 4 5 1 3 0 6
plaauyw 2 4 5 1 3 6 0
plaaywu 2 4 5 1 6 0 3
plaayuw 2 4 5 1 6 3 0
plauway 2 4 5 3 0 1 6
plauwya 2 4 5 3 0 6 1
plauawy 2 4 5 3 1 0 6
plauayw 2 4 5 3 1 6 0
plauywa 2 4 5 3 6 0 1
plauyaw 2 4 5 3 6 1 0
playwau 2 4 5 6 0 1 3
playwua 2 4 5 6 0 3 1
playawu 2 4 5 6 1 0 3
playauw 2 4 5 6 1 3 0
playuwa 2 4 5 6 3 0 1
playuaw 2 4 5 6 3 1 0
plywaua 2 4 6 0 1 3 5
plywaau 2 4 6 0 1 5 3
plywuaa 2 4 6 0 3 1 5
plywuaa 2 4 6 0 3 5 1
plywaau 2 4 6 0 5 1 3
plywaua 2 4 6 0 5 3 1
plyawua 2 4 6 1 0 3 5
plyawau 2 4 6 1 0 5 3
plyauwa 2 4 6 1 3 0 5
plyauaw 2 4 6 1 3 5 0
plyaawu 2 4 6 1 5 0 3
plyaauw 2 4 6 1 5 3 0
plyuwaa 2 4 6 3 0 1 5
plyuwaa 2 4 6 3 0 5 1
plyuawa 2 4 6 3 1 0 5
plyuaaw 2 4 6 3 1 5 0
plyuawa 2 4 6 3 5 0 1
plyuaaw 2 4 6 3 5 1 0
plyawau 2 4 6 5 0 1 3
plyawua 2 4 6 5 0 3 1
plyaawu 2 4 6 5 1 0 3
plyaauw 2 4 6 5 1 3 0
plyauwa 2 4 6 5 3 0 1
plyauaw 2 4 6 5 3 1 0
pawauly 2 5 0 1 3 4 6
pawauyl 2 5 0 1 3 6 4
pawaluy 2 5 0 1 4 3 6
pawalyu 2 5 0 1 4 6 3
pawayul 2 5 0 1 6 3 4
pawaylu 2 5 0 1 6 4 3
pawualy 2 5 0 3 1 4 6
pawuayl 2 5 0 3 1 6 4
pawulay 2 5 0 3 4 1 6
pawulya 2 5 0 3 4 6 1
pawuyal 2 5 0 3 6 1 4
pawuyla 2 5 0 3 6 4 1
pawlauy 2 5 0 4 1 3 6
pawlayu 2 5 0 4 1 6 3
pawluay 2 5 0 4 3 1 6
pawluya 2 5 0 4 3 6 1
pawlyau 2 5 0 4 6 1 3
pawlyua 2 5 0 4 6 3 1
pawyaul 2 5 0 6 1 3 4
pawyalu 2 5 0 6 1 4 3
pawyual 2 5 0 6 3 1 4
pawyula 2 5 0 6 3 4 1
pawylau 2 5 0 6 4 1 3
pawylua 2 5 0 6 4 3 1
paawuly 2 5 1 0 3 4 6
paawuyl 2 5 1 0 3 6 4
paawluy 2 5 1 0 4 3 6
paawlyu 2 5 1 0 4 6 3
paawyul 2 5 1 0 6 3 4
paawylu 2 5 1 0 6 4 3
paauwly 2 5 1 3 0 4 6
paauwyl 2 5 1 3 0 6 4
paaulwy 2 5 1 3 4 0 6
paaulyw 2 5 1 3 4 6 0
paauywl 2 5 1 3 6 0 4
paauylw 2 5 1 3 6 4 0
paalwuy 2 5 1 4 0 3 6
paalwyu 2 5 1 4 0 6 3
paaluwy 2 5 1 4 3 0 6
paaluyw 2 5 1 4 3 6 0
paalywu 2 5 1 4 6 0 3
paalyuw 2 5 1 4 6 3 0
paaywul 2 5 1 6 0 3 4
paaywlu 2 5 1 6 0 4 3
paayuwl 2 5 1 6 3 0 4
paayulw 2 5 1 6 3 4 0
paaylwu 2 5 1 6 4 0 3
paayluw 2 5 1 6 4 3 0
pauwaly 2 5 3 0 1 4 6
pauwayl 2 5 3 0 1 6 4
pauwlay 2 5 3 0 4 1 6
pauwlya 2 5 3 0 4 6 1
pauwyal 2 5 3 0 6 1 4
pauwyla 2 5 3 0 6 4 1
pauawly 2 5 3 1 0 4 6
pauawyl 2 5 3 1 0 6 4
paualwy 2 5 3 1 4 0 6
paualyw 2 5 3 1 4 6 0
pauaywl 2 5 3 1 6 0 4
pauaylw 2 5 3 1 6 4 0
paulway 2 5 3 4 0 1 6
paulwya 2 5 3 4 0 6 1
paulawy 2 5 3 4 1 0 6
paulayw 2 5 3 4 1 6 0
paulywa 2 5 3 4 6 0 1
paulyaw 2 5 3 4 6 1 0
pauywal 2 5 3 6 0 1 4
pauywla 2 5 3 6 0 4 1
pauyawl 2 5 3 6 1 0 4
pauyalw 2 5 3 6 1 4 0
pauylwa 2 5 3 6 4 0 1
pauylaw 2 5 3 6 4 1 0
palwauy 2 5 4 0 1 3 6
palwayu 2 5 4 0 1 6 3
palwuay 2 5 4 0 3 1 6
palwuya 2 5 4 0 3 6 1
palwyau 2 5 4 0 6 1 3
palwyua 2 5 4 0 6 3 1
palawuy 2 5 4 1 0 3 6
palawyu 2 5 4 1 0 6 3
palauwy 2 5 4 1 3 0 6
palauyw 2 5 4 1 3 6 0
palaywu 2 5 4 1 6 0 3
palayuw 2 5 4 1 6 3 0
paluway 2 5 4 3 0 1 6
paluwya 2 5 4 3 0 6 1
paluawy 2 5 4 3 1 0 6
paluayw 2 5 4 3 1 6 0
paluywa 2 5 4 3 6 0 1
paluyaw 2 5 4 3 6 1 0
palywau 2 5 4 6 0 1 3
palywua 2 5 4 6 0 3 1
palyawu 2 5 4 6 1 0 3
palyauw 2 5 4 6 1 3 0
palyuwa 2 5 4 6 3 0 1
palyuaw 2 5 4 6 3 1 0
paywaul 2 5 6 0 1 3 4
paywalu 2 5 6 0 1 4 3
paywual 2 5 6 0 3 1 4
paywula 2 5 6 0 3 4 1
paywlau 2 5 6 0 4 1 3
paywlua 2 5 6 0 4 3 1
payawul 2 5 6 1 0 3 4
payawlu 2 5 6 1 0 4 3
payauwl 2 5 6 1 3 0 4
payaulw 2 5 6 1 3 4 0
payalwu 2 5 6 1 4 0 3
payaluw 2 5 6 1 4 3 0
payuwal 2 5 6 3 0 1 4
payuwla 2 5 6 3 0 4 1
payuawl 2 5 6 3 1 0 4
payualw 2 5 6 3 1 4 0
payulwa 2 5 6 3 4 0 1
payulaw 2 5 6 3 4 1 0
paylwau 2 5 6 4 0 1 3
paylwua 2 5 6 4 0 3 1
paylawu 2 5 6 4 1 0 3
paylauw 2 5 6 4 1 3 0
payluwa 2 5 6 4 3 0 1
payluaw 2 5 6 4 3 1 0
pywaula 2 6 0 1 3 4 5
pywaual 2 6 0 1 3 5 4
pywalua 2 6 0 1 4 3 5
pywalau 2 6 0 1 4 5 3
pywaaul 2 6 0 1 5 3 4
pywaalu 2 6 0 1 5 4 3
pywuala 2 6 0 3 1 4 5
pywuaal 2 6 0 3 1 5 4
pywulaa 2 6 0 3 4 1 5
pywulaa 2 6 0 3 4 5 1
pywuaal 2 6 0 3 5 1 4
pywuala 2 6 0 3 5 4 1
pywlaua 2 6 0 4 1 3 5
pywlaau 2 6 0 4 1 5 3
pywluaa 2 6 0 4 3 1 5
pywluaa 2 6 0 4 3 5 1
pywlaau 2 6 0 4 5 1 3
pywlaua 2 6 0 4 5 3 1
pywaaul 2 6 0 5 1 3 4
pywaalu 2 6 0 5 1 4 3
pywaual 2 6 0 5 3 1 4
pywaula 2 6 0 5 3 4 1
pywalau 2 6 0 5 4 1 3
pywalua 2 6 0 5 4 3 1
pyawula 2 6 1 0 3 4 5
pyawual 2 6 1 0 3 5 4
pyawlua 2 6 1 0 4 3 5
pyawlau 2 6 1 0 4 5 3
pyawaul 2 6 1 0 5 3 4
pyawalu 2 6 1 0 5 4 3
pyauwla 2 6 1 3 0 4 5
pyauwal 2 6 1 3 0 5 4
pyaulwa 2 6 1 3 4 0 5
pyaulaw 2 6 1 3 4 5 0
pyauawl 2 6 1 3 5 0 4
pyaualw 2 6 1 3 5 4 0
pyalwua 2 6 1 4 0 3 5
pyalwau 2 6 1 4 0 5 3
pyaluwa 2 6 1 4 3 0 5
pyaluaw 2 6 1 4 3 5 0
pyalawu 2 6 1 4 5 0 3
pyalauw 2 6 1 4 5 3 0
pyaawul 2 6 1 5 0 3 4
pyaawlu 2 6 1 5 0 4 3
pyaauwl 2 6 1 5 3 0 4
pyaaulw 2 6 1 5 3 4 0
pyaalwu 2 6 1 5 4 0 3
pyaaluw 2 6 1 5 4 3 0
pyuwala 2 6 3 0 1 4 5
pyuwaal 2 6 3 0 1 5 4
pyuwlaa 2 6 3 0 4 1 5
pyuwlaa 2 6 3 0 4 5 1
pyuwaal 2 6 3 0 5 1 4
pyuwala 2 6 3 0 5 4 1
pyuawla 2 6 3 1 0 4 5
pyuawal 2 6 3 1 0 5 4
pyualwa 2 6 3 1 4 0 5
pyualaw 2 6 3 1 4 5 0
pyuaawl 2 6 3 1 5 0 4
pyuaalw 2 6 3 1 5 4 0
pyulwaa 2 6 3 4 0 1 5
pyulwaa 2 6 3 4 0 5 1
pyulawa 2 6 3 4 1 0 5
pyulaaw 2 6 3 4 1 5 0
pyulawa 2 6 3 4 5 0 1
pyulaaw 2 6 3 4 5 1 0
pyuawal 2 6 3 5 0 1 4
pyuawla 2 6 3 5 0 4 1
pyuaawl 2 6 3 5 1 0 4
pyuaalw 2 6 3 5 1 4 0
pyualwa 2 6 3 5 4 0 1
pyualaw 2 6 3 5 4 1 0
pylwaua 2 6 4 0 1 3 5
pylwaau 2 6 4 0 1 5 3
pylwuaa 2 6 4 0 3 1 5
pylwuaa 2 6 4 0 3 5 1
pylwaau 2 6 4 0 5 1 3
pylwaua 2 6 4 0 5 3 1
pylawua 2 6 4 1 0 3 5
pylawau 2 6 4 1 0 5 3
